Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT MARKET INFORMATION OF SESAMUM,RECOMMENDED TO CHOOSE HIMA OR CHANDANA
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE INFORMATION ABOUT THE PRACTICE OF SRI VARI SAGU,RECOMMENDED TO SPRAY HEXACVONAZOLE2MLLITER
1268,VIZIANAGARM,29,RABI,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR IRON DEFFICIENCY,RECOMMENDED TO APPLY LINDANE POWDER
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT GRANULES DOSAGE IN PADDY,RECOMMENDED TO APPLY BROMADIOLINE OIL MIXTURE
1137,VIZIANAGARM,2,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT RABBIT INFPRMATION,RECOMMENDED TO SPRAY BENOMYL 2MLLT
2051,VIZIANAGARM,3,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR LEAFFOLDER,RECOMMENDED TO SPRAY ENDOSULFAN 2MLLT
Oil palm,VIZIANAGARM,5,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL OF RICE LEAF FOLDER,RECOMMENDED VARITIES ARE YELAMANCHILI  RAJESWARI
1137,VIZIANAGARM,5,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO CHOOSE MTU- 1001 OR 1010 OR 3626
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE FERTILIZER DOSAGES,RECOMMENDED TO CHOOSE RAJESHWARI OR SWETHATHIL
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE COST OF BAJRA NARSARAOPETVAR,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
Oil palm,VIZIANAGARM,5,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF IRON DEFECIENCY,RECOMMENDED TO SWETHATHILRAJESHWARI VARITIES
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF BPH IN RICE,RECOMMENDED FOR THE APPLICATION OF CARTAPHYDROCHLORIDE 2GMLTR
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE SOWING TIME,RECOMMENDED TO APPLY ENDOSULFON 2MLLITRE
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF TERMITES,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2 GMLTR
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE VARITIES THAT ARE SUITABLE FOR RABI,RECOMMENDED FOR THE APPLICATION OF ACEPHATE 15 GMLTR
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF CLIMBING CUTWORM,RECOMMENDED TO APPLY ALUMINIUM PHOSPIDE TABLETS
1268,VIZIANAGARM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE WEATHER,RECOMMANDED TO SPRAY POLYFIDE3GM 15ML MONOCROTPHOS IN LITER WATER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF CERCOSPORA LEAFSPOT,GIVEN NO: 040-24015323
Sunnhemp Patua,VIZIANAGARM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED  ABOUT THE FERTILIZZER APPLICATION,RECOMMANDED TO SPRAY ENDOSULPHON2MLLIT WATER
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE FERTILISER RECOMMDNDATION IN PADDY,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLITRE
2051,VIZIANAGARM,3,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE SEED VARIETIES OF PAPAYA,RECOMMENDED TO SPRAY CARBOFURAN 4G GRANULES
1137,VIZIANAGARM,5,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR STEMBORER,RECOMMENDED VARIETIES ARE MTU1001APOORVAPRABATH
1137,VIZIANAGARM,3,RABI,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT RECOMMENDATIONS OF STORAGE FOR SPAN,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 25GMLT
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF BROAD LEAF WEEDS IN PADDY,ESC TO ATIC
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF GALLMIDGE,RECOMMENDED TO SPRAY DICOFOL 2GMLTWATER
9999,VIZIANAGARM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR STEM BORER,RECOMMENDED TO SPRAY PENDIMITHALIN 15 LTRACRE
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROPL OF FLOWER DROP,PROVIDED HIM WITH REQUIQED INFIRMATION
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUYT THE DOSAGE OF UREA FOR THIRD APPLICATION,RECOMMENDEDWEEDICIDE IS BENTHIOCARP 15 LTRACRE
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR LEAF SPOTS,RECOMMENDED TO SPRAY COPPEROXI CHLORIDE3glit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKEDE ABOUT THE CONTROL OF RICE BLAST,INFORMED THAT IT IS JUNE TO JULY
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FORSTEM BORER,RECOMMENDED VARIETIES ARE PKM-1JAFNA
Saffron,VIZIANAGARM,1,JAYAD,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR GALLMIDGE,RECOMMENDED TO TREAT THE SEEDS WITH MANCOZEB 3GMKG SEED IN 1 LT
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT REMEDY FOR THE LEAF DROP,RECOMMENDED TO APPLY N-2610  SSP-3750 MOP-2000 MAGNESIUM SULPHATE-500 GMSPLANT
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR BROAD LEAVED PLANTS WITH MONOCOT WEEDS IN RICE FIELD,RECOMMENDED TO SPRAY ATRATAP800gacre TO BE MIXED IN 240 LIT OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF TIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY 100ML GLYPHOSATE WITH 100GR AMMONIUM SULPHATE WITH 10 LITRES OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR WEED,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE FERTILIZER APPLICATION,RECOMMENDED TOSPRAY PARAQUAT 40ML10LIT WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF LITTLE LEAF BRINJAL,RECOMMENDED TO CHOOSE ICPL-85063 OR PALNADU OR LRG-38
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT MARKET INFORMATION,RECOMMENDED TO SPRAY ZNSO4  2glit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED THAT WILL THERE BE ANY PROBLEM IF THERE IS GROWTH OF AZOLLA IN PADDY FIELD,RECOMMENDED TO SPRAY ALLACHLORE 1LITREACRE
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKEDABOUT CONTROL FOR TERMITES,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT POTASSIUM DEFICIENCY,ESC TO ATIC
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT APPLICATION OF NEEM OIL,ANSWER GIVEN AS PER DATA
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF HELICOVERPA IN BEANS,RECOMMENDED TO SPRAY CARTAP HYDRO CHLORIDE 2 GMLTR
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF YELLOW STEM BORER,RECOMMENDED FOR THE APPLICATION OF ZINC SULPHATE 2 GMLTR
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SHEATH BLIGHT,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR LEAF FOLDER DAMAGE,RECOMMENDED TO SPRAY DINOCAP 1MLLIT
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SHEATH ROT,RECOMMENDED TO SPRAY BUTACHLORE 15LT200LT WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR WEEDS IN BETWEEN THE COCONUT PLANTS,ESC TO ATIC
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON MUSHROOMS,RECOMMENDED FOR THE APPLICATON OF ZINC SLPHATE 2 GMLTR
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE SEED TREATEMENT,RECOMMENDED DOSAGE IS 32 KG-N 24 KG-P 20-KG-K
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SUCKING PEST IN RIDGE GOURD,RECOMMENDED FOR THE APPLICATION 14KG N 44KG P14KG K
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR DIE-BACK FRUIT ROT,RECOMMENDED TO SPRAY PROPICONOZOLE 2MLLIT OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR WHITE FLY,RECOMMENDED TO SPRAY CHLORIPYRIPHOS  25mllit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION FOR ANIMAL HUSBANDRY RESEARCH STATION PHONE NO,RECOMMENDED TO SPRAY CARBORYL  3GLIT OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF TERMITES IN NEEM,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SOOTY MOLD DAMAGE,RECOMMENDED TO SPRAY MANCOZE4B  25glit OF WATER
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF ROOT ROT IN CHILLIES,RECOMENDED TO SPRAY TRICYCLAZOLE 06GRLIT OR ADEFENPHOS 1MLLIT
9999,VIZIANAGARM,9999,JAYAD,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF THRIPS DAMAGE IN CHILLI,RECOMMENDED TO SPRAY CHLORIPYRIPHOS  25mllit OF WATER
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF SHOOT AND FRUIT BORER,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS 16MLLIT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT HOW RIPPENING THE FRUITS,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS 22 MLLIT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT RECOMMENDED VARITIES TO SORGHUM,RECOMENDED FOR THE APPLICATION OF BENOMYL 05GLIT
1137,VIZIANAGARM,Fertilizer Use and Availability,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON TISSUE CULTURE IN BANANA,RECOMMENDED TO APPLY 2KG N1KG P1KG K5 CENTS AREA
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR PLANT HOPPERS DAMAGE,RECOMMENDED TO APPLY CARBOFURAN 3G  10kgacre
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF RICE BLAST,RECOMMENDED FOR THE APPLICATION OF BENOMIL 05GMLIT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF CHILLI THRIPS,RECOMMENDED TO SPRAY BENOMYL 05 GRLIT 2 TIMES IN 7 DAYS INTERVAL
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF FLOWER DROPPING IN PAPAYA,RECOMMENDED TO SPRAY ETHOFENPHOS 15 MLLIT
9999,VIZIANAGARM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT SEED TREATMENT IN PAPAYA,RECOMMENDED TO SPRAY CARBARYL  600gacre
Cabbage,VIZIANAGARM,74,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON GRASSES,INFORMED TO SOW DURING NOVEMBER-JUNUARY
959,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE MAIZE MARKET RATES,RECOMMENDED VARIETIES ARE MORDENDRSF-108DRSH-1
Sunflower suryamukhi,VIZIANAGARM,1,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR WEED CONTROL,INFORMED TO SOW DURING NOVEMBER-JUNUARY
Sunflower suryamukhi,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT MARKET PRICE OF MAIZE,RECOMMENDED VARIETIES ARE MORDENDRSF-108DRSH-1
1263,VIZIANAGARM,55,KHARIF,FISHERIES,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR ROTTENING,RECOMMENDED FOR THE APPLICATION OF PENDIMITHALIN 15 LTRACRE
Onion,VIZIANAGARM,94,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF LEAF WEBBER AND SKELETENIZER,RECOMMENDED FOR THE APPLICATION OF PENDIMITHALIN 15 LTRACRE
Others,VIZIANAGARM,44,KHARIF,ANIMAL HUSBANDRY,ANDHRA PRADESH,INSECT DAMAGE IN COCONUT,INFORMMED TO THAT VARITIES ARE APBS-1IGFRI-3CO-3IGRI-10 AND SOWING SEASONIS FROM JANAVARY TO FEB
Cotton Kapas,VIZIANAGARM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ATTACK OF BPH PATCH BURNING OF FIELD,RECOMMENDED FOR THE APPLIATION OF NAA AND DAP
Others,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT VARIETY OF GREENGRAM,RECOMMENDED VARIETIES ARE NLR-33359RDR-355NLR-33057
1137,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,SPODOPTERA DAMAGE IN GREENGRAM,RECOMMENDED VARIETIES ARE NLR-33359RDR-355NLR-33057
Others,VIZIANAGARM,3,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT ROTATION OF CROP,RECOMMENDED TO SPRAY PROFENOPHOS 2 MLLIT
2827,VIZIANAGARM,Water Management,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT LEAF FOLDER IN PADDY,RECOMMENDED TO SPRAY ACEPHATE  15glit OF WATER
Others,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT VARIETY OF TOMATO,RECOMMENDED VARIETIES ARE 90A17690R597A85
Sunnhemp Patua,VIZIANAGARM,5,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASK ABOUT FLOWERING NOT DEVELOPMENT FOR A LONG DURATION IN LEMONE,RECOMMENDED VARIETIES ARE 90A17690R597A85
2827,VIZIANAGARM,Water Management,,AGRICULTURE,ANDHRA PRADESH,ASK ABOUT IMPLEMENTS,RECOMMENDED TO SPRAY PLANOFYX  25ml10lit OF WATER
1279,VIZIANAGARM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,HISPA DAMAGE IN PADDY,RECOMMENDED TO SPRAY PROFENOPHOS 2 MLLIT
1282,VIZIANAGARM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,INFORMATION RGARDING FARM IMPLEMENTS,RECOMMENDED TO SPRAY ACEPHATE  15glit OF WATER
1280,VIZIANAGARM,99,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE REMEDY FOR MAKING FISH POND INTO CULTIVABLE LAND,RECOMMENDED TO SPRAY PLANOFYX  25ml10lit OF WATER
Others,VIZIANAGARM,29,,AGRICULTURE,ANDHRA PRADESH,ASKEED ABOUT THE MARKET RATE,RECOMMENDED TO SPRAY ATRAZIN 50  15kgacre TO BE MIXED IN 200 LIT OF WATER
Others,VIZIANAGARM,29,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL OF STEM BORER IN BRINJAL,RECOMMENDED TO SPRAY MANCOZEB 3 GRLIT
2108,VIZIANAGARM,75,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL OF FRUIT DROPPING IN CITRUS,RECOMMENDED TO SPRAY MANCOZEB 3 GRLIT
Groundnut pea nutmung phalli,VIZIANAGARM,29,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON ANIMAL HUSBANDRY,RECOMMENDED TO SPRAY PLANOFIX 25ML10LIT
1279,VIZIANAGARM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON VARIETY BIO226,RECOMMENDED TO SPRAY PLANOFIX 25ML10LIT
Others,VIZIANAGARM,Weather,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE INFORMATION REGARDING EUCALYPTUS CULTIVATION,INFORMED HIM AS PER THE REPORTS PROVIDED
1066,VIZIANAGARM,Weather,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE MARKET RATE FOR TURMERIC IN THEIR MARKEWT YARD,RECOMMENDED TO SPRAY BENOMIL 1 GR2LIT
1137,VIZIANAGARM,Weather,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF POD BOERE IN GREENGRAM,INFORMED AS PER THE PROVIDED INFORMATION
1137,VIZIANAGARM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF POD BOERER IN GREEN GRAM,RECOMMENDED TO SPRAY BENOMIL 1 GR2LIT
1279,VIZIANAGARM,76,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE MARKET RATE,RECOMMENDED TO SPRAY PROPHENOPHOS  2mllit OF WATER
Chrysanthemum,VIZIANAGARM,75,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON IMROVED SONAMASOORI VARIETY,RECOMMENDED TO SPRAY MANCOZEB 3GMLIT
1137,VIZIANAGARM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE VARITIES OF PADDY WHICH ARE SUITABLE TO WATER LOGGING AREAS,RECOMMENDED TO SPRAY TRICYCLOZOLE  05glit OF WATER
2108,VIZIANAGARM,74,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKEDTHE INFORMATION ON DRIP IRRIGATION,RECOMMENDED TO SOW DURING JANUARY-FEBRUARY
Others,VIZIANAGARM,Weather,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT THE SEED VARIETY DETAILS,INFORMMED AS PER PROVIDED DATA
1137,VIZIANAGARM,22,,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT MARKET INFORMATION FOR IR 64 VARIETY,RECOMMENDED TO SPRAY BUTACHLOR 20LIT200LIT
1280,VIZIANAGARM,76,,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT FERTILIZER APPLICATION FOR OILPALM,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 2MLLIT
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR SUCKING PESTS DAMAGE,RECOMMENDED TO SPRAYN COPPER OXY CHLORIDE 3GMLTR
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF RHIZOME ROT,RECOMME4NDED TO PSRAY PARAQUAT 40ML10LTR
1268,VISAKHAPATNAM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT VARITIES,RECOMMENDEDTO SPRAY 1GR 24DIN 100LTR OF WATER
1268,VISAKHAPATNAM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE MAKETING INFOMATION OF THE FARM IMPLEMENTS,RECOMMENDED TO SPRAY PHOSPOMIDON05MLLIT
1279,VISAKHAPATNAM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED WRITTEN INFORMATION ABOUT THE MUSHROOM CULTIVATION,RECOMMENDED TO SPRAY PROPHENOPHOS 2MLLT
1279,VISAKHAPATNAM,2,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT VAIREITES WHICH ARE HAVING 160-180 DAYS DURATION,RECOMMENDED TO CYPERMETHRIN05MLLIT
1280,VISAKHAPATNAM,29,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FLOWER DROPPING IN COCONUT,RECOMMENEDED TO SPRAY ACEPHATE 15GRLITRE
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT TISSU CULTURE VARITIES,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
Curry Leaf,VISAKHAPATNAM,2,KHARIF,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT VARITIES OF RICE,RECOMMENDED TO SPRAY METALAXYL MZ2GRAMSLITRE
1137,VISAKHAPATNAM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT VARIETIES WHICH ARE RESISTANT FOR BPH,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRMSLITER
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF FRUITLET DROP,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF POWDERY MILDEW,ESC TO 23311720
1137,VISAKHAPATNAM,2,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT FUSARIUM DISEASE IN BITTERGAURD,RECOMMENDED TO SPRAY TRICYCLOZOLE 120GR200 LITRES
9999,VISAKHAPATNAM,9999,KHARIF,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR THE FOOTROT DISEASE,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
1137,VISAKHAPATNAM,6,KHARIF,AGRICULTURE,ANDHRA PRADESH,ASKED ABOUT SEED TREATMENT OF PADDY,RECOMMENDED MARKET PRICE 860RS
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE FERTILISER DOSAGE FOR ONE YEAR PLANTS,RECOMMENDED TO SPRAY METROBIZIN600GRAMS45LITERS
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT INFORMATION ON SEED RATE FOR DIRECT SOWING,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT SUBSIDIES,RECOMMENDED TO ATRAZIN 2KGACRE
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT SUBSIDIES INFORMATION ON POWERTILLER,RECOMMENDED TO SPRAY CLOROPHIRIPHOS 2ML1L WATER
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF SHEATH ROT IN PADDY,RECOMMENDED TO CHOOSE DHM VARIETIES LIKE 109 OR 107
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF WEEDICIDE,RECOMMENDED FOR THE APPLICATION OF 200GM N200GM K PER PLANT IN EQUAL PARTS AT3570120180 DAS
Citrus,VISAKHAPATNAM,2,RABI,HORTICULTURE,ANDHRA PRADESH,ASSKED ABOUT CONTROL OF WEED CONTROL IN PADDY,RECOMMENDED TO SPRAY COC 3GM1L WATER
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT CONTROL OF STEM BORE IN PADDY,RECOMMENDED TO APPLY CARBENDAZIM 25GRKG SEED
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF LEAF SPOT,RECOMMENDED VARIETIES ARE CO6907CO T820185A26181A9981V4884A125
1324,VISAKHAPATNAM,2,RABI,HORTICULTURE,ANDHRA PRADESH,ASKED ABOUT CONTROL FOR GUMMOSIS,RECOMMENDED TO SPRAY PLANOFIX 25GM10LT
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT AVILABILITY OF AZOLLA,GAVE HIM THE INFORMATION REGARDING FARM IMPLEMENTS
Rabbit,VISAKHAPATNAM,45,RABI,ANIMAL HUSBANDRY,ANDHRA PRADESH,ASKED ABOUT CONTROL OF FLOWER DROP IN DRUMSTIC,ESC TO AH
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE MARKET RATE FOR MAIZE IN KOTHAPET MARKET,RECOMMENDED SEEDRATE IS 2-3 KGACRE
9999,VISAKHAPATNAM,9999,RABI,9999,ANDHRA PRADESH,ASKED ABOUT THE CONTROL OF WHITEFLY,RECOMMENDED TO SPRAY PLANOPHIX 25ML10 LITRES
Rabbit,VISAKHAPATNAM,45,JAYAD,ANIMAL HUSBANDRY,ANDHRA PRADESH,ASKED FOR THE WEATHER FORECAST OF 18TH AUGUST O6,ESC TO AH
9999,VISAKHAPATNAM,9999,JAYAD,9999,ANDHRA PRADESH,WEEDICIDE FOR 20 DAY OLD PADDY CROP,GIVEN THE DATA AS PER PROVIDED
9999,VISAKHAPATNAM,9999,JAYAD,9999,ANDHRA PRADESH,WANTED CONTACT  NO OF INSURANCE COMPANY,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
1137,VISAKHAPATNAM,5,JAYAD,AGRICULTURE,ANDHRA PRADESH,ASKED FOR THE FERTILIZER APPLICATION IN MAINFIELD PREPARATION OF PADDY,RECOMMENDED VARITIE IS BPT-5204
